,HospitalCounty,CountySum
0,Alameda,187970
1,Lake,4252
2,Butte,30326
3,Contra Costa,57598
4,El Dorado,6391
5,Fresno,96053
6,Mendocino,8088
7,Humboldt,29958
8,Imperial,7540
9,Kern,53807
10,Kings,5212
12,Madera,5208
13,Marin,8227
14,Merced,13281
15,Monterey,34568
16,Napa,9641
17,Nevada,4040
18,Orange,207906
19,Placer,18144
20,Tuolumne,3036
21,Riverside,121118
22,Sacramento,177751
23,San Bernardino,168301
24,San Diego,399156
25,San Francisco,265358
26,San Joaquin,55851
27,San Luis Obispo,16467
28,San Mateo,43189
29,Santa Barbara,39389
30,Santa Clara,91245
31,Santa Cruz,32707
32,Shasta,44407
33,Solano,34699
34,Sonoma,56155
35,Stanislaus,61779
36,Tulare,25220
37,Ventura,44604
38,Yolo,10084
39,Yuba,30757
40,Lassen,828
41,Colusa,208
42,Plumas,76
43,Siskiyou,3292
44,Glenn,44
45,San Benito,2200
46,Mariposa,392
47,Mono,68
48,Calaveras,392
49,Modoc,148
50,Sutter,408
51,Inyo,200
52,Tehama,5784
53,Amador,1748
54,Del Norte,3864
55,Trinity,408
